## stimuli/word_features/word_features_b0.csv
## delimiter = ('\t', 0)

| Column name                                               | Possible values   | Missing value   | Description   | Source   |
| APPO                                                      | int64             | <NA>            | <NA>          | <NA>     |
| APPRART                                                   | int64             | <NA>            | <NA>          | <NA>     |
| APPR                                                      | int64             | <NA>            | <NA>          | <NA>     |
| ADV                                                       | int64             | <NA>            | <NA>          | <NA>     |
| ADJD                                                      | int64             | <NA>            | <NA>          | <NA>     |
| ADJA                                                      | int64             | <NA>            | <NA>          | <NA>     |
| XY                                                        | int64             | <NA>            | <NA>          | <NA>     |
| VMPP                                                      | int64             | <NA>            | <NA>          | <NA>     |
| VMINF                                                     | int64             | <NA>            | <NA>          | <NA>     |
| VMFIN                                                     | int64             | <NA>            | <NA>          | <NA>     |
| VAPP                                                      | int64             | <NA>            | <NA>          | <NA>     |
| VAFIN                                                     | int64             | <NA>            | <NA>          | <NA>     |
| VVPP                                                      | int64             | <NA>            | <NA>          | <NA>     |
| VVIZU                                                     | int64             | <NA>            | <NA>          | <NA>     |
| VVINF                                                     | int64             | <NA>            | <NA>          | <NA>     |
| VVIMP                                                     | int64             | <NA>            | <NA>          | <NA>     |
| VVFIN                                                     | int64             | <NA>            | <NA>          | <NA>     |
| TRUNC                                                     | int64             | <NA>            | <NA>          | <NA>     |
| PTKA                                                      | int64             | <NA>            | <NA>          | <NA>     |
| PTKANT                                                    | int64             | <NA>            | <NA>          | <NA>     |
| PTKVZ                                                     | int64             | <NA>            | <NA>          | <NA>     |
| PTKNEG                                                    | int64             | <NA>            | <NA>          | <NA>     |
| PTKZU                                                     | int64             | <NA>            | <NA>          | <NA>     |
| PAV                                                       | int64             | <NA>            | <NA>          | <NA>     |
| PWAV                                                      | int64             | <NA>            | <NA>          | <NA>     |
| PWAT                                                      | int64             | <NA>            | <NA>          | <NA>     |
| PWS                                                       | int64             | <NA>            | <NA>          | <NA>     |
| PRF                                                       | int64             | <NA>            | <NA>          | <NA>     |
| type                                                      | object            | <NA>            | <NA>          | <NA>     |
| lemma                                                     | object            | <NA>            | <NA>          | <NA>     |
| lemma_length_chars                                        | object            | <NA>            | <NA>          | <NA>     |
| type_length_syllables                                     | float64           | <NA>            | <NA>          | <NA>     |
| annotated_type_frequency_normalized                       | float64           | <NA>            | <NA>          | <NA>     |
| type_frequency_normalized                                 | float64           | <NA>            | <NA>          | <NA>     |
| lemma_frequency_normalized                                | float64           | <NA>            | <NA>          | <NA>     |
| familiarity_normalized                                    | float64           | <NA>            | <NA>          | <NA>     |
| regularity_normalized                                     | float64           | <NA>            | <NA>          | <NA>     |
| document_frequency_normalized                             | float64           | <NA>            | <NA>          | <NA>     |
| sentence_frequency_normalized                             | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_syllable_corpus_frequency_normalized           | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_syllable_lexicon_frequency_normalized          | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_corpus_frequency_normalized          | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_lexicon_frequency_normalized         | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_bigram_corpus_frequency_normalized   | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_bigram_lexicon_frequency_normalized  | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_trigram_corpus_frequency_normalized  | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_trigram_lexicon_frequency_normalized | float64           | <NA>            | <NA>          | <NA>     |
| initial_letter_frequency_normalized                       | float64           | <NA>            | <NA>          | <NA>     |
| initial_bigram_frequency_normalized                       | float64           | <NA>            | <NA>          | <NA>     |
| initial_trigram_frequency_normalized                      | float64           | <NA>            | <NA>          | <NA>     |
| avg_cond_prob_in_bigrams                                  | float64           | <NA>            | <NA>          | <NA>     |
| avg_cond_prob_in_trigrams                                 | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_coltheart_higher_freq_cum_freq_normalized       | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_coltheart_higher_freq_count_normalized          | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_coltheart_all_cum_freq_normalized               | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_coltheart_all_count_normalized                  | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_levenshtein_higher_freq_cum_freq_normalized     | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_levenshtein_higher_freq_count_normalized        | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_levenshtein_all_cum_freq_normalized             | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_levenshtein_all_count_normalized                | float64           | <NA>            | <NA>          | <NA>     |
| FFD                                                       | int64             | <NA>            | <NA>          | <NA>     |
| SFD                                                       | int64             | <NA>            | <NA>          | <NA>     |
| FD                                                        | int64             | <NA>            | <NA>          | <NA>     |
| FPRT                                                      | int64             | <NA>            | <NA>          | <NA>     |
| FRT                                                       | int64             | <NA>            | <NA>          | <NA>     |
| TFT                                                       | int64             | <NA>            | <NA>          | <NA>     |
| RRT                                                       | int64             | <NA>            | <NA>          | <NA>     |
| RPD_inc                                                   | int64             | <NA>            | <NA>          | <NA>     |
| RPD_exc                                                   | int64             | <NA>            | <NA>          | <NA>     |
| RBRT                                                      | int64             | <NA>            | <NA>          | <NA>     |
| Fix                                                       | int64             | <NA>            | <NA>          | <NA>     |
| FPF                                                       | int64             | <NA>            | <NA>          | <NA>     |
| RR                                                        | int64             | <NA>            | <NA>          | <NA>     |
| FPReg                                                     | int64             | <NA>            | <NA>          | <NA>     |
| TRC_out                                                   | int64             | <NA>            | <NA>          | <NA>     |
| TRC_in                                                    | int64             | <NA>            | <NA>          | <NA>     |
| LP                                                        | int64             | <NA>            | <NA>          | <NA>     |
| SL_in                                                     | int64             | <NA>            | <NA>          | <NA>     |
| SL_out                                                    | int64             | <NA>            | <NA>          | <NA>     |
| mean_acc_tq                                               | float64           | <NA>            | <NA>          | <NA>     |
| mean_acc_bq                                               | float64           | <NA>            | <NA>          | <NA>     |
| reader                                                    | int64             | <NA>            | <NA>          | <NA>     |
| gender                                                    | int64             | <NA>            | <NA>          | <NA>     |
| major                                                     | int64             | <NA>            | <NA>          | <NA>     |
| age                                                       | float64           | <NA>            | <NA>          | <NA>     |
| expert_status                                             | int64             | <NA>            | <NA>          | <NA>     |
| domain_expert_status                                      | int64             | <NA>            | <NA>          | <NA>     |


